               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14302,            0.044063,            0.030278,           0.0016883,            0.018161,          0.00089143,          0.00023132,              0.1397,            0.029503,            0.028175,              0.0973,              0.0003,              0.0003
                   1,             0.13872,            0.051857,            0.028168,           0.0026629,            0.037984,           0.0016408,          0.00041762,             0.13243,            0.034667,            0.024774,            0.093693,          0.00069307,          0.00069307
                   2,             0.13221,            0.059959,            0.024961,            0.003369,            0.062561,           0.0027978,          0.00074797,             0.12747,            0.036661,             0.02065,            0.090078,           0.0010782,           0.0010782
                   3,             0.12825,            0.063725,            0.021067,            0.020062,            0.043394,           0.0062153,           0.0015741,             0.12575,            0.034455,            0.017008,            0.086455,           0.0014555,           0.0014555
                   4,             0.12427,            0.057945,            0.016892,             0.57918,            0.061944,            0.033584,           0.0095053,             0.12118,            0.065643,            0.016158,            0.082825,           0.0018248,           0.0018248
                   5,              0.1168,            0.056193,            0.014422,             0.55093,             0.10162,            0.047116,            0.011624,             0.11939,            0.094726,            0.016123,            0.079186,           0.0021861,           0.0021861
                   6,             0.11207,            0.060185,             0.01243,             0.55736,             0.11321,            0.055257,             0.01282,             0.11458,             0.10013,            0.015173,             0.07554,           0.0025396,           0.0025396
                   7,             0.10717,            0.059713,            0.011352,             0.08676,             0.31175,            0.079545,            0.021608,             0.10704,            0.084915,            0.012365,            0.071885,           0.0028852,           0.0028852
                   8,             0.10336,            0.061303,           0.0097108,             0.10245,             0.35009,            0.096894,            0.024643,             0.10488,            0.095049,            0.010889,            0.068223,           0.0032228,           0.0032228
                   9,              0.1005,            0.059982,           0.0091923,             0.12405,             0.33429,            0.097031,            0.026187,             0.11627,            0.074816,            0.009359,            0.064553,           0.0035525,           0.0035525
                  10,            0.099234,            0.059223,           0.0084498,             0.13318,             0.32377,             0.12698,            0.037434,             0.11342,            0.058731,           0.0082151,            0.060874,           0.0038743,           0.0038743
                  11,            0.097833,            0.060943,           0.0076981,             0.14855,             0.30228,             0.14723,            0.043765,             0.10939,             0.05385,           0.0074793,            0.057188,           0.0041882,           0.0041882
                  12,             0.09575,            0.061482,           0.0070299,             0.14961,             0.29462,             0.14917,            0.044814,             0.10523,             0.04826,           0.0070936,            0.053494,           0.0044941,           0.0044941
                  13,             0.09572,            0.061173,           0.0065971,             0.21691,             0.31548,             0.18504,             0.05613,             0.10222,            0.043093,           0.0067846,            0.049792,           0.0047922,           0.0047922
                  14,            0.094612,            0.060884,           0.0064392,             0.26454,             0.30449,             0.22966,            0.074174,             0.10211,            0.039402,           0.0064407,            0.046082,           0.0050823,           0.0050823
                  15,            0.093671,             0.05934,           0.0057936,               0.223,              0.3102,             0.20612,            0.062894,            0.097881,            0.034633,           0.0062542,            0.042364,           0.0053644,           0.0053644
                  16,            0.093076,            0.059664,           0.0055395,              0.2637,             0.28509,             0.19429,            0.063052,            0.096269,            0.035076,           0.0063938,            0.038639,           0.0056387,           0.0056387
                  17,            0.092796,            0.059443,           0.0055955,             0.30745,             0.34064,             0.26953,            0.091054,            0.093951,            0.032009,            0.006039,            0.034905,           0.0059051,           0.0059051
                  18,            0.092538,            0.059621,           0.0051426,             0.32807,              0.3301,             0.26087,            0.085987,            0.095287,            0.032558,           0.0058004,            0.031163,           0.0061635,           0.0061635
                  19,            0.090558,            0.059414,           0.0050638,             0.30335,             0.36077,             0.25303,            0.079433,            0.092458,            0.031634,           0.0056648,            0.027414,            0.006414,            0.006414
                  20,            0.091112,            0.057893,           0.0048902,             0.33303,             0.38193,             0.28913,            0.099626,            0.089219,            0.030676,           0.0054171,            0.023657,           0.0066566,           0.0066566
                  21,             0.08995,            0.061662,             0.00498,             0.33472,             0.35806,             0.28503,            0.098766,            0.091084,            0.031534,           0.0053335,            0.019891,           0.0068913,           0.0068913
                  22,            0.089172,            0.059382,           0.0046075,             0.43044,             0.36982,              0.3092,             0.10899,            0.086109,            0.030919,           0.0055836,            0.016118,            0.007118,            0.007118
                  23,            0.087502,            0.055122,           0.0042722,             0.43247,             0.38336,             0.34851,             0.12657,            0.086452,            0.029878,           0.0052734,            0.012337,           0.0073369,           0.0073369
                  24,            0.086977,            0.059572,           0.0043967,              0.4158,             0.37078,             0.31995,             0.10122,            0.090095,            0.032381,           0.0051573,           0.0085478,           0.0075478,           0.0075478
                  25,             0.08507,            0.056491,           0.0042598,             0.42892,             0.37867,              0.3363,             0.12787,            0.086306,            0.030201,           0.0049736,            0.007525,            0.007525,            0.007525
                  26,            0.085023,            0.057896,           0.0041266,             0.55699,              0.3682,             0.37384,             0.12982,             0.08548,            0.031013,           0.0049999,            0.007525,            0.007525,            0.007525
                  27,              0.0842,            0.054544,           0.0039789,             0.38965,              0.3757,             0.32381,             0.11782,            0.088125,            0.031274,           0.0048918,            0.007426,            0.007426,            0.007426
                  28,            0.083237,            0.057355,           0.0039287,             0.50046,             0.39987,             0.35867,             0.11313,            0.088957,            0.033454,            0.004753,            0.007327,            0.007327,            0.007327
                  29,            0.081454,            0.058315,           0.0038745,              0.5634,             0.41882,             0.41712,             0.13523,            0.086269,            0.032493,           0.0046068,            0.007228,            0.007228,            0.007228
                  30,            0.081519,            0.058792,           0.0036939,             0.59879,             0.40297,             0.42114,             0.14628,            0.084043,            0.031603,           0.0046512,            0.007129,            0.007129,            0.007129
                  31,            0.078628,            0.055264,            0.003734,             0.56972,             0.40449,             0.41886,             0.14402,            0.084807,            0.030825,           0.0044746,             0.00703,             0.00703,             0.00703
                  32,            0.079368,            0.056818,           0.0034404,             0.58424,             0.40795,              0.4297,              0.1523,            0.084454,            0.031197,           0.0044257,            0.006931,            0.006931,            0.006931
                  33,            0.078951,            0.057643,           0.0035861,             0.56733,             0.42365,             0.43923,             0.16124,            0.082791,            0.031797,           0.0043296,            0.006832,            0.006832,            0.006832
                  34,            0.078079,            0.055049,           0.0034188,             0.57098,             0.42008,             0.41919,             0.15372,            0.081081,            0.030541,           0.0043602,            0.006733,            0.006733,            0.006733
                  35,            0.077617,            0.055247,           0.0037081,             0.62792,             0.40994,             0.44062,             0.15284,            0.080777,            0.030384,            0.004299,            0.006634,            0.006634,            0.006634
                  36,             0.07643,            0.057594,             0.00331,             0.64372,             0.44344,             0.47489,             0.17939,            0.081556,             0.03156,           0.0043834,            0.006535,            0.006535,            0.006535
                  37,             0.07665,            0.056141,           0.0033276,             0.65059,             0.44058,             0.46475,             0.18486,            0.081107,            0.032061,           0.0043536,            0.006436,            0.006436,            0.006436
