               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12774,             0.08105,            0.027212,             0.58574,             0.10124,            0.033735,           0.0087425,             0.11198,            0.078251,            0.017914,              0.0784,              0.0024,              0.0024
                   1,             0.10918,            0.081595,            0.015138,             0.67484,             0.14374,             0.12942,            0.043667,             0.10787,            0.095753,            0.014331,            0.055851,           0.0048515,           0.0048515
                   2,            0.098787,            0.076187,           0.0097594,             0.22521,             0.38039,             0.15983,            0.043732,            0.098939,            0.075802,           0.0080302,            0.033253,           0.0072535,           0.0072535
                   3,            0.096177,            0.078389,           0.0067357,             0.20129,              0.4041,             0.22382,            0.071604,              0.1009,            0.072426,           0.0062948,            0.010606,            0.009606,            0.009606
                   4,            0.092297,            0.077722,           0.0060213,             0.16914,             0.46111,             0.16987,            0.049556,            0.093671,            0.082436,           0.0057799,            0.009604,            0.009604,            0.009604
                   5,            0.085935,            0.079631,           0.0054094,             0.29643,             0.43681,             0.32389,             0.12068,            0.086976,             0.06794,           0.0054975,            0.009604,            0.009604,            0.009604
                   6,            0.081657,            0.078045,           0.0049962,             0.35954,             0.39424,             0.31773,             0.11107,            0.076706,            0.065956,           0.0053728,            0.009505,            0.009505,            0.009505
                   7,            0.076227,            0.077584,           0.0043699,              0.4805,             0.42957,              0.3808,             0.13883,            0.073711,            0.068117,            0.005119,            0.009406,            0.009406,            0.009406
                   8,            0.075193,            0.074398,           0.0043636,             0.61871,             0.46588,             0.47677,              0.1762,            0.072903,            0.064104,           0.0049616,            0.009307,            0.009307,            0.009307
                   9,            0.073348,            0.077511,           0.0040859,             0.72999,             0.48827,             0.53458,             0.21351,            0.067313,            0.063303,            0.004877,            0.009208,            0.009208,            0.009208
                  10,            0.069527,            0.076274,           0.0039754,             0.62007,             0.44819,             0.47916,             0.20134,            0.071076,            0.063673,           0.0046552,            0.009109,            0.009109,            0.009109
                  11,            0.070673,            0.076345,           0.0038027,             0.73593,             0.48732,             0.54241,             0.23203,            0.066885,            0.061768,           0.0047893,             0.00901,             0.00901,             0.00901
                  12,            0.068135,            0.071978,           0.0038427,             0.72906,             0.48256,             0.53118,             0.21499,            0.065995,            0.061361,           0.0048218,            0.008911,            0.008911,            0.008911
                  13,            0.067381,            0.073209,           0.0035151,             0.75428,             0.50893,             0.56463,             0.23324,            0.064494,            0.061031,           0.0046339,            0.008812,            0.008812,            0.008812
                  14,            0.067773,            0.075321,           0.0034485,             0.73886,             0.52392,             0.57797,              0.2444,            0.067126,            0.063887,           0.0046754,            0.008713,            0.008713,            0.008713
                  15,            0.065959,            0.069791,           0.0032503,             0.75861,             0.51136,             0.58106,             0.26354,            0.063386,            0.062199,           0.0044869,            0.008614,            0.008614,            0.008614
                  16,            0.065653,            0.074546,           0.0029845,             0.78153,             0.50935,             0.57443,             0.25131,            0.063332,            0.060909,            0.004218,            0.008515,            0.008515,            0.008515
                  17,            0.063854,            0.067982,           0.0029276,             0.80354,               0.516,             0.60161,             0.27219,            0.064545,            0.061789,           0.0041741,            0.008416,            0.008416,            0.008416
                  18,            0.063075,            0.071963,           0.0030273,             0.79267,             0.52807,             0.59263,             0.27363,            0.061253,            0.061119,           0.0040841,            0.008317,            0.008317,            0.008317
                  19,            0.062858,            0.069711,           0.0028378,             0.76758,             0.54617,             0.60294,             0.27573,            0.061609,            0.060127,           0.0041512,            0.008218,            0.008218,            0.008218
                  20,            0.061444,            0.070861,           0.0028053,             0.81502,             0.51176,             0.59082,              0.2778,            0.061094,            0.059883,           0.0041806,            0.008119,            0.008119,            0.008119
                  21,            0.060739,            0.069281,            0.002496,             0.78902,               0.509,             0.58965,             0.27351,            0.061804,            0.060717,           0.0040174,             0.00802,             0.00802,             0.00802
                  22,            0.060747,            0.067808,           0.0025765,              0.8094,              0.5413,             0.62756,             0.29514,            0.062449,            0.060158,            0.004023,            0.007921,            0.007921,            0.007921
                  23,            0.062434,            0.072056,           0.0027799,             0.81855,             0.54074,             0.63132,             0.29526,            0.060638,            0.059874,           0.0040547,            0.007822,            0.007822,            0.007822
                  24,            0.061214,            0.066617,           0.0027001,             0.80337,             0.54489,             0.61218,             0.26722,            0.062971,             0.06082,           0.0039388,            0.007723,            0.007723,            0.007723
                  25,            0.060601,            0.069084,           0.0024823,             0.77636,              0.5261,             0.61449,             0.28324,            0.062163,            0.060532,           0.0040259,            0.007624,            0.007624,            0.007624
                  26,              0.0579,            0.066704,           0.0024757,             0.78713,             0.56156,              0.6324,             0.31059,            0.058391,            0.058962,           0.0040054,            0.007525,            0.007525,            0.007525
                  27,            0.059112,            0.070089,           0.0025009,             0.79555,             0.54574,             0.62894,             0.29027,            0.060851,            0.060295,           0.0039293,            0.007426,            0.007426,            0.007426
                  28,            0.058151,             0.06617,           0.0024305,             0.80021,             0.54721,             0.63813,             0.29003,            0.060011,            0.058714,           0.0039804,            0.007327,            0.007327,            0.007327
                  29,            0.059353,            0.066159,           0.0025875,             0.81193,             0.55545,             0.64003,             0.31175,            0.060663,            0.059189,           0.0040987,            0.007228,            0.007228,            0.007228
                  30,            0.058179,            0.067138,           0.0024723,             0.82353,              0.5483,             0.63469,              0.3056,            0.058675,            0.058771,           0.0040178,            0.007129,            0.007129,            0.007129
                  31,            0.058681,            0.070073,            0.002164,             0.81574,             0.54643,             0.62832,             0.30334,            0.059596,            0.058607,           0.0037539,             0.00703,             0.00703,             0.00703
